ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,humidity,humidity_lower,humidity_upper,humidity_lag1,humidity_lag1_lower,humidity_lag1_upper,temp_rolling3,temp_rolling3_lower,temp_rolling3_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-05-28,14.939775689413235,20.482780071104393,21.117466626835558,14.939775689413235,14.939775689413235,5.865200717690767,5.865200717690767,5.865200717690767,5.921535819099563,5.921535819099563,5.921535819099563,0.09169096725755783,0.09169096725755783,0.09169096725755783,-0.0002828944711245314,-0.0002828944711245314,-0.0002828944711245314,5.83012774631313,5.83012774631313,5.83012774631313,-0.05633510140879626,-0.05633510140879626,-0.05633510140879626,0.0,0.0,0.0,20.804976407104
2023-05-29,14.93764655852485,20.59396018540755,21.21550523055725,14.93764655852485,14.93764655852485,5.984043517660866,5.984043517660866,5.984043517660866,5.912072112910448,5.912072112910448,5.912072112910448,0.029700750563727153,0.029700750563727153,0.029700750563727153,0.000979507695285063,0.000979507695285063,0.000979507695285063,5.8813918546514365,5.8813918546514365,5.8813918546514365,0.07197140475041675,0.07197140475041675,0.07197140475041675,0.0,0.0,0.0,20.921690076185715
2023-05-30,14.935517427636468,20.50095331714204,21.12794211787763,14.935517427636468,14.935517427636468,5.900393794463735,5.900393794463735,5.900393794463735,5.851587876838787,5.851587876838787,5.851587876838787,-0.009747569150528492,-0.009747569150528492,-0.009747569150528492,0.00031824941764194115,0.00031824941764194115,0.00031824941764194115,5.861017196571674,5.861017196571674,5.861017196571674,0.048805917624947466,0.048805917624947466,0.048805917624947466,0.0,0.0,0.0,20.8359112221002
2023-05-31,14.933388296748086,20.19009837484912,20.810517219625808,14.933388296748086,14.933388296748086,5.57951768730489,5.57951768730489,5.57951768730489,5.642644551345981,5.642644551345981,5.642644551345981,0.035336224808621045,0.035336224808621045,0.035336224808621045,-0.00010255130449458847,-0.00010255130449458847,-0.00010255130449458847,5.607410877841855,5.607410877841855,5.607410877841855,-0.0631268640410909,-0.0631268640410909,-0.0631268640410909,0.0,0.0,0.0,20.512905984052978
2023-06-01,14.931259165859704,20.04855662738519,20.685575923884972,14.931259165859704,14.931259165859704,5.4418130483222065,5.4418130483222065,5.4418130483222065,5.4883609137660425,5.4883609137660425,5.4883609137660425,0.0278222591487627,0.0278222591487627,0.0278222591487627,0.0003783638065185907,0.0003783638065185907,0.0003783638065185907,5.460160290810761,5.460160290810761,5.460160290810761,-0.04654786544383626,-0.04654786544383626,-0.04654786544383626,0.0,0.0,0.0,20.37307221418191
2023-06-02,14.929130032447292,20.17817822176578,20.816798719833887,14.929130032447292,14.929130032447292,5.569653432310539,5.569653432310539,5.569653432310539,5.529992631334297,5.529992631334297,5.529992631334297,0.0804200187677703,0.0804200187677703,0.0804200187677703,0.00029821128801639323,0.00029821128801639323,0.00029821128801639323,5.44927440127851,5.44927440127851,5.44927440127851,0.03966080097624235,0.03966080097624235,0.03966080097624235,0.0,0.0,0.0,20.49878346475783
2023-06-03,14.927000899034883,20.247822237037862,20.88730091548713,14.927000899034883,14.927000899034883,5.630094839340297,5.630094839340297,5.630094839340297,5.624523131797654,5.624523131797654,5.624523131797654,0.06163510461812471,0.06163510461812471,0.06163510461812471,0.0008592789175317669,0.0008592789175317669,0.0008592789175317669,5.562028748261997,5.562028748261997,5.562028748261997,0.00557170754264399,0.00557170754264399,0.00557170754264399,0.0,0.0,0.0,20.557095738375182
2023-06-04,14.924871765622472,20.031075781308843,20.66999376064035,14.924871765622472,14.924871765622472,5.428064149770914,5.428064149770914,5.428064149770914,5.4843992511796635,5.4843992511796635,5.4843992511796635,-0.011626060565492945,-0.011626060565492945,-0.011626060565492945,0.0006588976212762762,0.0006588976212762762,0.0006588976212762762,5.49536641412388,5.49536641412388,5.49536641412388,-0.05633510140874949,-0.05633510140874949,-0.05633510140874949,0.0,0.0,0.0,20.352935915393385
2023-06-05,14.922742632210063,20.28532238458464,20.920094176093567,14.922742632210063,14.922742632210063,5.678407827985845,5.678407827985845,5.678407827985845,5.6064364232353645,5.6064364232353645,5.6064364232353645,0.10108342433238063,0.10108342433238063,0.10108342433238063,-0.00012258943412013642,-0.00012258943412013642,-0.00012258943412013642,5.505475588337104,5.505475588337104,5.505475588337104,0.07197140475048071,0.07197140475048071,0.07197140475048071,0.0,0.0,0.0,20.60115046019591
2023-06-06,14.920613498797652,20.024737094408085,20.6614767487683,14.920613498797652,14.920613498797652,5.417239067367584,5.417239067367584,5.417239067367584,5.368433149742767,5.368433149742767,5.368433149742767,0.029700750563727153,0.029700750563727153,0.029700750563727153,0.0010796983434128086,0.0010796983434128086,0.0010796983434128086,5.337652700835627,5.337652700835627,5.337652700835627,0.0488059176248177,0.0488059176248177,0.0488059176248177,0.0,0.0,0.0,20.337852566165235
